,(Everything I Do) I Do It for You,7 Rings,A Whiter Shade of Pale,All About That Bass,All I Want for Christmas Is You,Bad Romance,Bei Mir Bist Du Schön,Blurred Lines,Call Me Maybe,Chirpy Chirpy Cheep Cheep,Dance Monkey,Despacito,Earth Angel,Gangnam Style,Girls Like You,Grenade,Havana,Hips Don't Lie,I Took a Pill in Ibiza,I Want to Hold Your Hand,I Will Always Love You,I'm a Believer,If I Didn't Care,In the Summertime,Kung Fu Fighting,Lean On,Let It Go,Love Me like You Do,Love on the Brain,Love Yourself,Macarena,Moves Like Jagger,Mundian To Bach Ke,My Heart Will Go On,My Sharona,My Sweet Lord,Needed Me,Old Town Road,One Dance,Right Round,Rock Around the Clock,Rock Your Baby,Rolling in the Deep,Rudolph the Red-Nosed Reindeer,See You Again,Shape of You,Silent Night,Somebody That I Used to Know,Something Just Like This,Sweet Mother,Tennessee Waltz,The Last Farewell,Thinking Out Loud,Thrift Shop,Un-Break My Heart,Uptown Funk,Wabash Cannonball,Waka Waka (This Time for Africa),We Are the World,Y.M.C.A.,"Yes Sir, I Can Boogie",You're the One That I Want
Dance Monkey,0.8978436464207535,0.8535346650977671,0.9334838579852025,0.8005244248990903,0.830507908526002,0.8517805194052721,0.7573115564406573,0.851864813598298,0.846156088779872,0.9221153384558407,1.0,0.8843457578190825,0.849417803807788,0.9012751339010996,0.8570617109490118,0.78611290866647,0.8533278884800388,0.7760979043764556,0.9007248008787143,0.8892630151389872,0.8639385171004559,0.9280880724572053,0.8544774812077236,0.94091996913362,0.9069534422593166,0.8051460925455952,0.8228812897903754,0.8055630577237289,0.8718452552808663,0.8380756802394099,0.8497037136755481,0.8956969590575561,0.6810800282342916,0.8845508611704357,0.9054977328742126,0.8679163399468367,0.8103330050196548,0.8690766170262451,0.853776931685263,0.8551054117898643,0.9096023311834796,0.9607705663058572,0.8575159671665302,0.776929645422034,0.88846207998579,0.8353605826264686,0.8363133921626407,0.8939848010536809,0.8056875825767514,0.8209675765944004,0.8395813278768623,0.7765532254599785,0.8507037321363767,0.8615089682883166,0.8019267233717167,0.8784730852451033,0.8728720362715274,0.872919922672649,0.8817419087061951,0.866660378084923,0.9176783900205823,0.9030220178918147
Despacito,0.949945819260591,0.9599664356808527,0.8805221971339556,0.9036157154498349,0.9366547544575801,0.9257972624990716,0.8729533751560068,0.9523612494697418,0.9468959927787604,0.8986760572351497,0.8843457578190825,1.0,0.9401246805677618,0.942588176636342,0.9497390551578863,0.7616862633777061,0.8343594517821918,0.9435441443426903,0.9267553551519532,0.8977182408639787,0.9119738182512528,0.9419472017467002,0.8380046706542916,0.8949645243903794,0.934190860931412,0.9413510578238011,0.9358499690954308,0.9155957426394092,0.9617311865137133,0.956285833155584,0.8858766625660554,0.9649380712528333,0.8765566004234687,0.9337315168953789,0.9192446422416577,0.9257947735963888,0.9431285492414889,0.9141001622939299,0.9538859533007564,0.9531897754521946,0.9474091739069064,0.9077551456136946,0.94555391961625,0.781384052013342,0.9352848003010407,0.9448632842505266,0.9410323652779382,0.9432354735950498,0.9255251204597537,0.9279089051200541,0.9194068657044449,0.8402535537304104,0.9530988620861988,0.9446969562693597,0.9314508388709367,0.9567022904016066,0.8945795180252691,0.9611865630168631,0.8890151830847903,0.8809308183349728,0.935182184512866,0.923920623618976
Earth Angel,0.9310233702397893,0.925361486733076,0.8523971063318176,0.8648811508330658,0.927501599768752,0.9139449106225398,0.889514929594987,0.9320433557268073,0.9369116373699833,0.8980665077959593,0.849417803807788,0.9401246805677618,1.0,0.9094064884761791,0.925056569771611,0.817429021271781,0.8311203989349045,0.913818806080472,0.9434422197805958,0.9081894344294937,0.9435518560010451,0.9043968742113806,0.8417062589335131,0.8710282520105056,0.913446006918049,0.8790826612462034,0.9265275955160766,0.9117092313910515,0.937479633716091,0.9272491756920986,0.9088900911254416,0.9405516134897328,0.8286474289387548,0.9301149261834911,0.9068602325114463,0.9510515718039552,0.9209949220287073,0.8892702166631619,0.8992351262740299,0.9206069578324751,0.9345644742575799,0.8792465227263073,0.9345932801238691,0.8291119992803063,0.9476804350510514,0.9183066309322604,0.9373007162341789,0.9305726160397771,0.9146029343150757,0.9319586457882042,0.942702495713038,0.8724501922143432,0.9292125619548203,0.9101824942379916,0.9183550887851778,0.9435684929931255,0.9277564572952537,0.956224425611156,0.8962433272977494,0.8896223662181613,0.928025560048917,0.9254528656819683
Gangnam Style,0.9381967154561265,0.909625273527386,0.9066451521430966,0.9104624530610079,0.8788415600539439,0.9170062788970174,0.8732762814710217,0.903909155772878,0.8928980211772859,0.8812972903249385,0.9012751339010996,0.942588176636342,0.9094064884761791,1.0,0.904554140305558,0.8024905991522792,0.8599914429726084,0.8705260845836387,0.9129451588287989,0.8687553254887237,0.8807292082587507,0.9354070090042245,0.8187268265851954,0.8908811294193167,0.9235335830423554,0.8740954015502069,0.8604998282100234,0.8662873013642514,0.8966114315768796,0.8958332015386606,0.8772533036676401,0.9275468568220138,0.8602897346303003,0.904839443770409,0.8873416970298512,0.8792199823185998,0.8848195027372635,0.8950121596700551,0.9240819997244843,0.8982775024316246,0.9215466038393546,0.9142444393954123,0.9009226419344135,0.7534476343670383,0.8942635267876936,0.8981627146709888,0.9088170429353256,0.9095370297103574,0.8718516945572032,0.884748565723954,0.8722529102936437,0.7776675187979603,0.8909792833325462,0.916372642025992,0.8693411473574375,0.9063909081698073,0.8887111815736426,0.9458873658104239,0.8531592493601352,0.8756897465151198,0.8973553438903187,0.9017818141781632
Girls Like You,0.9431059426718444,0.9659373420793282,0.83418867643192,0.9184556134055143,0.9391452392368835,0.9273047509561579,0.8398302259654977,0.9590735724330517,0.9528779765249901,0.8558747794177202,0.8570617109490118,0.9497390551578863,0.925056569771611,0.904554140305558,1.0,0.7378479567164233,0.7646356452642372,0.9260258512217938,0.8875542521190668,0.8532752400538113,0.8848439216189313,0.9310349417180995,0.7905783469938115,0.8541483363557131,0.8841127062279664,0.9451362769826334,0.9043343583281596,0.9017657974031431,0.954464020749836,0.9668990068428472,0.8534776809180173,0.976513159477633,0.8405169672259886,0.9228677210909965,0.9158217634940541,0.9111190528225773,0.9510356382950715,0.9207014945533717,0.9317781600958401,0.9440246286079429,0.9251971636834179,0.8745298088171674,0.9427174984286449,0.7550892144336339,0.9258535674078345,0.9475253184800874,0.8840920102427979,0.9328421695634903,0.9046282959866696,0.8787210310663852,0.8727513872797138,0.7859168604559228,0.9582246895175847,0.9397509724740932,0.9529950602020302,0.9653436249939199,0.855477359177815,0.9421305982419351,0.8592331843526748,0.8380915784119316,0.8996674217415939,0.8921606205733229
Grenade,0.8010032379314626,0.7401871422674919,0.777680178809662,0.6679046976706597,0.7612902816033765,0.7445312954802211,0.7690512277571372,0.7512882879620116,0.7475095955058608,0.8341744326272101,0.78611290866647,0.7616862633777061,0.817429021271781,0.8024905991522792,0.7378479567164233,1.0,0.8362911931972632,0.7204342019935599,0.8621462066229739,0.849037669807578,0.8175855255331448,0.8110205900613996,0.835851499664973,0.7963512582594642,0.847170680754803,0.6877442265186595,0.7505602531542105,0.8027904405960218,0.7620504423060227,0.7325085794235368,0.8521648481953752,0.7807112781461043,0.630240483170461,0.8218700657418133,0.7660690392485591,0.8177883012207652,0.7274502391291484,0.6983213111914467,0.7098817102606395,0.744008493418596,0.8074949109987064,0.8107872977011367,0.7539901657158665,0.8539763679557717,0.8065757770998354,0.7227594601342693,0.797844856720889,0.7292262835098524,0.7200520033857751,0.7484459303729085,0.846791216400962,0.818786809606637,0.731102461628241,0.7618160682179728,0.6977155964133547,0.7757355977518113,0.8512032560117727,0.7969740196328239,0.8075794370100141,0.8584798208210593,0.8289703200840409,0.8322569434937848
Havana,0.8503555237859874,0.8044099474604451,0.8750773949323463,0.7171148502185427,0.7597630161217802,0.7987525396645087,0.7783739360939226,0.8056075041573248,0.7595406688661855,0.9009576097061944,0.8533278884800388,0.8343594517821918,0.8311203989349045,0.8599914429726084,0.7646356452642372,0.8362911931972632,1.0,0.7475047634420537,0.9062073920450613,0.8474652982842581,0.8341590958866397,0.8629604079182631,0.8309939734008328,0.8935738208720291,0.9152755922270339,0.740882960814445,0.7865032969552799,0.7864682187435965,0.7966776637583349,0.7599137236662135,0.8666005025148219,0.8302175666162512,0.6699174652434808,0.8853745100155088,0.8028010138357966,0.8319546442711506,0.7471089126899392,0.7664109182086539,0.7541490457371889,0.7751903762130293,0.8623667432619662,0.8862290867425722,0.7823780245361178,0.8278529510077272,0.8315249720527744,0.7518153754621852,0.8758418368558456,0.8212327337375793,0.7319827977449419,0.8007642576042998,0.8426146224383647,0.7807708748371766,0.770893751108368,0.80000805829554,0.7227903799971607,0.8065606307928879,0.9004175481965729,0.8476065027376015,0.8590117804573267,0.8992126498584193,0.8805420428363047,0.8819175586845708
Hips Don't Lie,0.9069712286419047,0.9275296949119053,0.7738317922522595,0.8746011996163908,0.9349597770293948,0.8920699446820453,0.8765048900164958,0.9389293664290147,0.920444171411592,0.823170933221759,0.7760979043764556,0.9435441443426903,0.913818806080472,0.8705260845836387,0.9260258512217938,0.7204342019935599,0.7475047634420537,1.0,0.8863300550293017,0.8545247457193824,0.865755075232759,0.8756600614895619,0.7895915501753519,0.8106807210955148,0.8667752056946317,0.9182566721727744,0.9056712757418893,0.9234738581264408,0.9354937892166092,0.9283033547644517,0.8715834714426789,0.9288977859331916,0.8941015085626248,0.8894687048883719,0.8717723735657811,0.8987313884147266,0.94117421480251,0.8559486861077023,0.9193225543297628,0.8965632743501886,0.8935706208890501,0.814734367173787,0.9297440582067614,0.7614311701993902,0.8803995523967283,0.9396754346943413,0.8973034461468495,0.8687760449568063,0.9232792159602202,0.9409526841640273,0.9023710093460883,0.8443890033905531,0.9312633886497763,0.9171991150831686,0.9371614647456927,0.9219548279754899,0.8512889321025985,0.9252522277113687,0.8642958315085769,0.8199934758874123,0.8861586324616564,0.8817040903485612
I Took a Pill in Ibiza,0.9318626662899389,0.9067500200377018,0.9209839550678919,0.8180774022873686,0.9012333674673217,0.8961824437743693,0.8693859820365578,0.923962581671832,0.8950505588375279,0.9636221985224123,0.9007248008787143,0.9267553551519532,0.9434422197805958,0.9129451588287989,0.8875542521190668,0.8621462066229739,0.9062073920450613,0.8863300550293017,1.0,0.9589123820636416,0.9462995498635199,0.9158615059511664,0.9126358532556439,0.9489809125016014,0.9590215151446888,0.844951554690432,0.906606824767895,0.9094469832336455,0.9173781428319874,0.88684262068048,0.945392321256899,0.9360508012182958,0.768715826865874,0.9527409981833587,0.9260027409993227,0.9578103646981195,0.8796321985986236,0.8797742062846311,0.8854243146994399,0.8852031004525822,0.942779469575278,0.9410530522857737,0.9122482962099626,0.8963555638912053,0.9482188148868249,0.8902147069762429,0.9344519875668551,0.9109853393489697,0.8825526348984982,0.940107215694234,0.9512592049645039,0.9089428339489999,0.8958505591511492,0.9070651498108693,0.8614680008830075,0.9274178520551558,0.960928954024569,0.9321800470605173,0.9454547397540738,0.9401939547389584,0.9624358366116189,0.9724592696643306
I Want to Hold Your Hand,0.8992341253074286,0.8705853059437105,0.9072680230989943,0.7670768169931065,0.8892295727795237,0.8433566566713357,0.8283400792493574,0.8877422067355732,0.8731359458513359,0.9582648320127369,0.8892630151389872,0.8977182408639787,0.9081894344294937,0.8687553254887237,0.8532752400538113,0.849037669807578,0.8474652982842581,0.8545247457193824,0.9589123820636416,1.0,0.9249691137970484,0.8998912845044109,0.9565374117722856,0.9315000026895434,0.9377521842425544,0.8115221997248618,0.8770122377405448,0.9068763213755923,0.9060824760866946,0.8556018366759157,0.8905488487168821,0.907099501496153,0.7183513848103722,0.9140089505269592,0.9181587004420644,0.9284243411688122,0.8630897967422307,0.8473197211078962,0.8793829309036758,0.8713189807106679,0.9046498192527378,0.9334446822438345,0.8789818895356545,0.8908155184902872,0.9255438982006601,0.8591293125095635,0.8768839129556022,0.8794816477688898,0.8643621609521287,0.9088711531424851,0.9256385712772692,0.9357559011034128,0.8657714976788284,0.8821268974215887,0.8267009171173297,0.9023194799893469,0.9347560813498788,0.8909162072771956,0.9473570062537883,0.9234324810103824,0.9544631966979188,0.9631263932774432
I Will Always Love You,0.9071936451377165,0.900389865211999,0.8678920628289108,0.8089787172396764,0.9119359957577341,0.881953905064276,0.8588812480581767,0.9043225832976036,0.8942026803352847,0.9374458884904121,0.8639385171004559,0.9119738182512528,0.9435518560010451,0.8807292082587507,0.8848439216189313,0.8175855255331448,0.8341590958866397,0.865755075232759,0.9462995498635199,0.9249691137970484,1.0,0.8954981967993606,0.8794274999651801,0.907375569552615,0.9307184636221904,0.8435516697514337,0.9263474682405163,0.8986706311847752,0.9035462993988227,0.8834179300272939,0.9157604739939244,0.9097142800284699,0.7541104998248256,0.9257317800728557,0.9156128874039808,0.9592734743807716,0.8847488910471535,0.8822176898503631,0.8842157607729312,0.8831922235372514,0.9274372599823216,0.9021213816837539,0.9047859750942953,0.8579647045367041,0.949100127893494,0.8759409433253791,0.9135988502365252,0.9143780835959288,0.8810816747693705,0.911870790768337,0.9479503426315764,0.9029618898571746,0.8905306566995295,0.9051443547709737,0.8646568280129315,0.9190001339430806,0.9285833613151627,0.9043992169232863,0.9103042275497348,0.9108227123963268,0.937306303406468,0.9476779109762571
I'm a Believer,0.9460403882645801,0.9215382152436588,0.9120667328137234,0.8765974810673259,0.9025306116605116,0.8982919479748824,0.8316655714791514,0.9194244936816525,0.9082615659211977,0.916801279485535,0.9280880724572053,0.9419472017467002,0.9043968742113806,0.9354070090042245,0.9310349417180995,0.8110205900613996,0.8629604079182631,0.8756600614895619,0.9158615059511664,0.8998912845044109,0.8954981967993606,1.0,0.865041331542178,0.9213452407528967,0.9361928879010045,0.8927691665948918,0.8769026976109491,0.8815819001604205,0.9330053171710986,0.9186236725602307,0.8720988238059043,0.9511190857259653,0.8016589197314014,0.9260592269315315,0.9277075456899109,0.9032544877016802,0.8872240572221283,0.8962413670575506,0.9042688404168018,0.9129489671104737,0.9464137714709528,0.9423059582684142,0.9141378855025684,0.7870957529861646,0.9078874408466736,0.8994414237859619,0.8994025664052265,0.9356240293375746,0.8577260941787495,0.8658146365031495,0.8835336988834196,0.814587195369673,0.9191047507419695,0.9151546347451905,0.8941651369475011,0.9268721617977352,0.8856579776340754,0.9344650927843042,0.9119760504578871,0.8880238750714402,0.9368582181917108,0.9243483556914219
If I Didn't Care,0.8499523302200556,0.8133623619304298,0.8781806470339102,0.6959537386539509,0.8377180507467736,0.7818424980932775,0.808095580466672,0.824408154327237,0.8065803519809885,0.9413601880776692,0.8544774812077236,0.8380046706542916,0.8417062589335131,0.8187268265851954,0.7905783469938115,0.835851499664973,0.8309939734008328,0.7895915501753519,0.9126358532556439,0.9565374117722856,0.8794274999651801,0.865041331542178,1.0,0.906356063111571,0.9129865691103505,0.7486441091777899,0.8296353291957074,0.8720807288507267,0.8363674513484471,0.784958116438489,0.8388979997220433,0.8493850324491696,0.6537278211129854,0.8644545731622337,0.8679283590400412,0.869734150415404,0.7966698767894558,0.7746562734699889,0.8125576616145795,0.8086470804292731,0.8526352908562328,0.9088535163125265,0.8061610874708109,0.8669841422414302,0.8713976765251096,0.7820758750832363,0.8350992007107993,0.8143996714034192,0.7962323340421267,0.8420468509725638,0.8916334782019,0.9141120256416615,0.796404249211288,0.8426523692515654,0.7479477808394446,0.8363136418002293,0.8990937097479731,0.8250638947660658,0.9195736010684679,0.9021980536381199,0.9059740680039895,0.9408837012095979
